feature,feature_type,iqr_outlier_count,iqr_outlier_pct,zscore_outlier_count,zscore_outlier_pct
local_feat_0,Local,35477,17.41040099328161,1603,0.7866751075973283
local_feat_1,Local,16878,8.282908587665444,1673,0.821027732383238
local_feat_2,Local,0,0.0,0,0.0
local_feat_3,Local,49725,24.402632392562165,1229,0.6031339408840403
local_feat_4,Local,40542,19.89605877243349,386,0.1894301881051583
local_feat_5,Local,43594,21.393833213099146,1104,0.541789968052059
local_feat_6,Local,9297,4.562519323351442,646,0.3170256515956794
local_feat_7,Local,37921,18.609798350092507,1564,0.7675357880737502
local_feat_8,Local,36132,17.73184341092119,1599,0.784712100466705
local_feat_9,Local,48764,23.931019929429894,545,0.2674597215474385
local_feat_10,Local,37291,18.300624727019322,1573,0.7719525541176528
local_feat_11,Local,48729,23.91384361703694,0,0.0
local_feat_12,Local,48341,23.72343192536647,0,0.0
local_feat_13,Local,40494,19.87250268686601,382,0.1874671809745349
local_feat_14,Local,306,0.15017004549269025,42,0.02061157487154572
local_feat_15,Local,31610,15.512663849751435,514,0.25224641628510713
local_feat_16,Local,36292,17.810363696146126,1635,0.8023791646423155
local_feat_17,Local,37058,18.186279561660506,1777,0.8720659177794463
local_feat_18,Local,36461,17.893300747414965,1784,0.8755011802580374
local_feat_19,Local,0,0.0,0,0.0
local_feat_20,Local,0,0.0,0,0.0
local_feat_21,Local,39967,19.613876497406377,2778,1.3633084522179528
local_feat_22,Local,40086,19.672275959542425,4474,2.195623475602275
local_feat_23,Local,40667,19.957402745265473,1953,0.958438231526876
local_feat_24,Local,40359,19.80625119620747,3019,1.4815796318380128
local_feat_25,Local,43271,21.235320387301307,0,0.0
local_feat_26,Local,42949,21.07729831328612,0,0.0
local_feat_27,Local,39951,19.606024468883884,2778,1.3633084522179528
local_feat_28,Local,40080,19.66933144884649,4474,2.195623475602275
local_feat_29,Local,41897,20.561027437932168,1953,0.958438231526876
local_feat_30,Local,40366,19.80968645868606,3019,1.4815796318380128
local_feat_31,Local,43271,21.235320387301307,0,0.0
local_feat_32,Local,42950,21.077789065068778,0,0.0
local_feat_33,Local,23897,11.72749535012686,476,0.23359784854418483
local_feat_34,Local,28666,14.067890601612609,611,0.29984933920272466
local_feat_35,Local,6397,3.139339153649476,265,0.13004922240380037
local_feat_36,Local,28678,14.073779623004482,525,0.25764468589432155
local_feat_37,Local,6277,3.0804489397307737,4451,2.1843361846011904
local_feat_38,Local,6273,3.07848593260015,4543,2.229485348605529
local_feat_39,Local,44802,21.986661366547413,4539,2.2275223414749057
local_feat_40,Local,43168,21.184772953687755,3598,1.76572491399575
local_feat_41,Local,25672,12.598579764340995,1869,0.9172150817837846
local_feat_42,Local,43330,21.264274742478,3781,1.855532490221771
local_feat_43,Local,25012,12.274683587788132,12914,6.337568521217653
local_feat_44,Local,24904,12.2216823952613,12851,6.306651158910334
local_feat_45,Local,44530,21.853176881665025,4536,2.226050086126938
local_feat_46,Local,43586,21.3899071988379,3793,1.861421511613641
local_feat_47,Local,25270,12.401297547713343,1897,0.9309561316981484
local_feat_48,Local,43406,21.301571877959844,4598,2.2564766966516006
local_feat_49,Local,24657,12.100466704945307,12779,6.271317030559113
local_feat_50,Local,24557,12.051391526679721,12737,6.250705455687568
local_feat_51,Local,40226,19.740981209114242,7241,3.553533658211013
local_feat_52,Local,37976,18.63678969813858,7221,3.543718622557897
local_feat_53,Local,38477,18.88265634124916,5048,2.4773149988467336
local_feat_54,Local,37466,18.386506288984094,5904,2.897398524800141
local_feat_55,Local,37948,18.623048648224213,0,0.0
local_feat_56,Local,37717,18.509684986430713,0,0.0
local_feat_57,Local,38101,18.69813367097056,447,0.21936604684716518
local_feat_58,Local,41095,20.167444508242177,3618,1.775539949648867
local_feat_59,Local,40384,19.81851999077387,5445,2.672143456561106
local_feat_60,Local,41301,20.26853937546928,3434,1.6852416216401904
local_feat_61,Local,0,0.0,0,0.0
local_feat_62,Local,0,0.0,0,0.0
local_feat_63,Local,38131,18.712856224450235,447,0.21936604684716518
local_feat_64,Local,41153,20.195908111636214,3618,1.775539949648867
local_feat_65,Local,40345,19.79938067125029,5445,2.672143456561106
local_feat_66,Local,41260,20.248418552380393,3434,1.6852416216401904
local_feat_67,Local,0,0.0,0,0.0
local_feat_68,Local,0,0.0,0,0.0
local_feat_69,Local,4896,2.402720727883044,117,0.05741795857073451
local_feat_70,Local,47751,23.43388837359952,815,0.3999627028645181
local_feat_71,Local,48718,23.908445347427726,112,0.05496419965745526
local_feat_72,Local,47965,23.53890925508787,113,0.05545495144011111
local_feat_73,Local,48262,23.684662534536656,0,0.0
local_feat_74,Local,48251,23.67926426492744,0,0.0
local_feat_75,Local,45893,22.522071561424948,1672,0.820536980600582
local_feat_76,Local,43405,21.30108112617719,3889,1.9085336827486026
local_feat_77,Local,41811,20.518822784623765,3859,1.893811129268927
local_feat_78,Local,43652,21.422296816493187,4213,2.067537260329098
local_feat_79,Local,0,0.0,0,0.0
local_feat_80,Local,0,0.0,0,0.0
local_feat_81,Local,45741,22.447477290461258,944,0.4632696828271229
local_feat_82,Local,42042,20.632186446417265,4041,1.983127953712292
local_feat_83,Local,42102,20.661631553376615,3982,1.9541735985355968
local_feat_84,Local,42736,20.972768183580428,4052,1.9885262233215062
local_feat_85,Local,0,0.0,0,0.0
local_feat_86,Local,0,0.0,0,0.0
local_feat_87,Local,45756,22.454838567201097,5475,2.6868660100407813
local_feat_88,Local,11253,5.522429810226286,1305,0.6404310763658849
local_feat_89,Local,13726,6.736058968734204,5984,2.9366586674126096
local_feat_90,Local,13172,6.464182481142863,3576,1.7549283747773214
local_feat_91,Local,0,0.0,0,0.0
local_feat_92,Local,0,0.0,0,0.0
agg_feat_0,Aggregated,32987,16.18842905446854,1744,0.8558711089518032
agg_feat_1,Aggregated,32984,16.186956799120573,1875,0.9201595924797197
agg_feat_2,Aggregated,48480,23.791646423155633,1882,0.9235948549583107
agg_feat_3,Aggregated,32035,15.721233357380171,1785,0.8759919320406931
agg_feat_4,Aggregated,48444,23.77397935898002,0,0.0
agg_feat_5,Aggregated,47958,23.53547399260928,0,0.0
agg_feat_6,Aggregated,214,0.105020881488352,401,0.19679146484499607
agg_feat_7,Aggregated,41,0.02012082308888987,78,0.03827863904715634
agg_feat_8,Aggregated,37695,18.498888447212284,1208,0.5928281534482673
agg_feat_9,Aggregated,51,0.025028340915448373,101,0.0495659300482409
